Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
7,SS,2,0.233493776,0.483211937,0.287158325,79.72733873,7.922690699,5.010115649,3.608791095,2.147600245,37.84711804,28.04046804,34.31319851,0.030151117,0.049421159,0.253243924,0.297,0.78617433,0.966863048
7,SS,3,0.231574093,0.481221459,0.287158325,79.87851081,8.011941992,5.001300442,3.633966158,2.143355358,43.08580575,33.27915575,33.9520601,0.029731103,0.049499052,0.270357243,0.307,0.754313008,0.935369138
7,SS,4,0.188673461,0.434365585,0.238400887,79.55090749,8.19669782,4.79379027,3.659809287,1.933838887,35.28105572,25.47440572,27.48868704,0.02371366,0.04052893,0.275984829,0.347,0.543727553,0.687034257
7,SS,5,0.237898896,0.487748804,0.296729616,79.6117212,8.10949613,5.03020803,3.732624675,2.173367325,34.79148495,24.98483495,32.18596409,0.029605123,0.049088774,0.264355786,0.314,0.757639796,0.944998776
7,ST,1,0.231621112,0.481270311,0.280082827,79.87468602,7.610085689,5.001516789,3.553252778,2.141095178,45.84043058,36.03378058,36.42029966,0.030998133,0.052505432,0.197492962,0.266,0.870756061,1.05294296
7,ST,2,0.210251564,0.458531966,0.223504586,79.93746125,8.078170296,4.900815696,3.717943132,2.031199332,62.04938114,52.24273114,26.49283536,0.02564191,0.044317876,0.216569057,0.324,0.648924581,0.689828969
7,ST,3,0.211209704,0.459575569,0.262780219,79.8382642,8.023952192,4.905437492,3.629385081,2.040707781,49.41415046,39.60750046,29.24712885,0.026765642,0.044115562,0.247639814,0.318,0.664181459,0.826352891
7,ST,4,0.273214423,0.522699171,0.281255948,79.8459036,8.22505389,5.18499239,3.964786867,2.317269667,58.55403708,48.74738708,28.81149685,0.030997136,0.051086616,0.211451996,0.31,0.88133685,0.907277251
7,ST,5,0.255498945,0.505469035,0.277743941,79.82513662,8.246813445,5.108685445,3.948134927,2.251584477,57.08890949,47.28225949,28.57445783,0.029458507,0.04996574,0.20267403,0.32,0.798434202,0.867949817
8,SF,1,0.288957404,0.537547583,0.343037843,60.51957455,8.977278411,5.250751411,4.155031688,2.399641338,47.46067734,37.65402734,28.97360091,0.031176746,0.053353459,0.335967597,0.38,0.760414221,0.902731165
8,SF,2,0.306564203,0.553682403,0.366779742,60.39831979,9.470420486,5.322207536,4.379858677,2.457755277,34.61056545,24.80391545,28.19929439,0.030581414,0.052399986,0.385156698,0.423,0.724738069,0.86709159
