,,GRF_1h_(Normalized),GRF_1h_(Normalized),GRF_1l_(Normalized),GRF_1l_(Normalized),GRF_2h_(Normalized),GRF_2h_(Normalized),GRF_2l_(Normalized),GRF_2l_(Normalized),GRF_(Normalized),GRF_(Normalized),GRF_diff_(Normalized),GRF_diff_(Normalized),Impulse_1h_(Normalized),Impulse_1h_(Normalized),Impulse_1l_(Normalized),Impulse_1l_(Normalized),Velocity,Velocity
,,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI
Style,Time,,,,,,,,,,,,,,,,,,
SF,8.0,331.694,40.76759361978747,292.7013846153846,40.48270166701823,4.85819435973166,0.43943032064185833,3.1485446182039802,0.4686280049338556,8.00673897793564,0.6872494105487789,3.4860890176574366,0.40127156809881726,416.74194572270846,12.411326555660287,381.48605125063324,11.74744311166112,-2.7829314204413795,0.04447458831354585
SF,9.0,388.4856923076923,44.517831256137015,322.6333076923077,41.98979042197157,5.526851626268941,0.48902031802338775,3.6420598880348907,0.5045492832216647,9.168911514303831,0.7730322546883596,3.6988177686640267,0.4231350466622402,417.1020355688623,12.428756857005363,381.7937185967872,11.763429487174138,-2.78415024519526,0.044290142420541447
SF,10.0,431.7300769230769,44.541732043966086,354.1587692307692,43.11564657510214,6.171019803366182,0.540326130239496,4.054831820254041,0.5167982000189393,10.225851623620223,0.8348425934985472,3.81626037261964,0.4595685013191133,417.5121434534777,12.446338677579686,382.1321146352487,11.778083843042802,-2.784259513626298,0.04413215429535219
SF,11.0,471.89030769230766,46.961381036435675,397.6436153846154,46.36752540159363,6.883738379551211,0.6052237052508347,4.512214924902051,0.5654576007936478,11.395953304453261,0.9121203402843555,4.299646513690522,0.5219318241553631,417.96395364578535,12.46258734625743,382.5080158275564,11.791581232576227,-2.783255261162261,0.043997206238451145
SF,12.0,515.118076923077,50.70556364166819,438.9004615384615,50.25593884401876,7.5080332761191695,0.6637638417207985,5.041946205399576,0.6261200945881467,12.549979481518745,1.0012154252186747,4.683302981091982,0.5769582907441728,418.45745783809303,12.47777408415392,382.9262878660179,11.80516097258551,-2.7810889447692753,0.043889503983278406
SF,13.0,552.5093076923077,54.73475210042672,465.13107692307693,52.592401050260214,7.904429884135719,0.6854202867384594,5.5030662249032165,0.6926576085548393,13.407496109038936,1.0939681407862516,4.808634081398863,0.5840935591258261,418.99127153040075,12.49308865987064,383.3783036352487,11.819027964967821,-2.777916856973996,0.04382066293099528
SF,14.0,568.4587692307692,54.615367113932564,488.42623076923076,52.07872124232558,8.161926363763317,0.662033341331234,5.7687321742341275,0.6979730378621518,13.930658537997445,1.11413181674873,4.45701930596045,0.5615945943336984,419.55175556886223,12.508859057142264,383.85508228909487,11.832627051490306,-2.774054429650478,0.04379397154636311
SF,15.0,565.9102307692308,48.30315406183319,516.6025384615385,50.94017642693345,8.399967427088724,0.6162352886296375,5.881957153752191,0.6324342667798073,14.281924580840915,1.027903957168848,4.018978117048407,0.5464882364376867,420.1189400688623,12.523725181762305,384.3575966737102,11.845357855838055,-2.769754788091059,0.043795260618643105
SF,16.0,562.3548461538462,42.006959949171154,548.7534615384615,52.76083348789735,8.638876615453047,0.607501474140039,6.030794433702036,0.5852748460713968,14.669671049155081,0.9679994903246523,3.82197481873194,0.5689827698579346,420.6830726073238,12.535770961882978,384.8902746737102,11.85775028166875,-2.765085640276061,0.04379305553129876
SF,17.0,570.3875384615385,41.54138287099637,567.8299999999999,53.50164603628784,8.731907402928398,0.621384676610397,6.307980348235928,0.6048731768379746,15.039887751164326,0.9997975514414906,3.7219785973534263,0.5816828033731548,421.24944379963154,12.544205099900262,385.44856640447944,11.870881772814197,-2.760037510875901,0.04376285970933417
